eventTime,eventLat,eventLon,eventDepths,eventMag,magUnit,eventDescrp
2013-09-30T05:55:54.870000Z,-30.8752,-178.2538,37.8,6.4,MW,"KERMADEC ISLANDS, NEW ZEALAND"
2013-03-01T12:53:53.930000Z,50.9049,157.6005,58.3,6.4,MW,KURIL ISLANDS
2013-06-15T17:34:29.170000Z,11.7418,-87.0457,41.4,6.4,MW,NEAR COAST OF NICARAGUA
2013-02-01T22:16:37.420000Z,-11.0263,165.4374,30.0,6.4,MW,SANTA CRUZ ISLANDS
2013-09-07T00:13:29.910000Z,14.6678,-92.0911,74.1,6.4,MW,"NEAR COAST OF CHIAPAS, MEXICO"
2013-10-04T17:26:14.250000Z,-38.707,78.5007,11.0,6.4,MW,MID-INDIAN RIDGE
2013-06-15T16:11:02.090000Z,34.4507,25.044,21.5,6.3,MW,"CRETE, GREECE"
2013-06-02T05:43:03.800000Z,23.8318,121.059,17.0,6.3,MW,TAIWAN
2013-05-20T09:49:08.210000Z,-45.0062,-80.7244,35.0,6.3,MW,OFF COAST OF SOUTHERN CHILE
2013-10-31T12:02:09.350000Z,23.5436,121.458,14.8,6.3,MW,TAIWAN
2013-05-11T20:46:57.260000Z,-17.9392,-175.1186,210.3,6.3,MW,TONGA ISLANDS
2013-04-05T13:00:02.360000Z,42.7359,131.064,571.3,6.3,MW,E. RUSSIA-N.E. CHINA BORDER REG.
2013-02-01T22:18:36.330000Z,-11.1551,165.4699,30.0,6.3,MW,SANTA CRUZ ISLANDS
2013-07-26T21:33:00.060000Z,-58.0352,-24.28,17.0,6.3,MW,SOUTH SANDWICH ISLANDS REGION
2013-05-23T21:07:46.050000Z,-20.6244,-175.7552,151.6,6.3,MW,TONGA ISLANDS
2013-10-30T02:51:49.440000Z,-35.4018,-73.1515,11.9,6.3,MW,OFF COAST OF CENTRAL CHILE
2013-04-09T11:52:50.190000Z,28.4463,51.629,12.8,6.3,MW,SOUTHERN IRAN
2013-07-22T07:01:41.750000Z,-46.0946,34.8615,3.2,6.3,MW,PRINCE EDWARD ISLANDS REGION
2013-11-02T18:53:47.930000Z,-19.3532,-172.6354,19.3,6.2,MW,TONGA ISLANDS REGION
2013-04-26T06:53:28.910000Z,-28.7301,-178.8979,355.4,6.2,MW,KERMADEC ISLANDS REGION
2013-08-12T09:49:31.920000Z,-5.4117,-81.979,12.8,6.2,MW,NEAR COAST OF NORTHERN PERU
2013-08-12T04:16:47.810000Z,-30.6243,-179.6421,341.4,6.2,MW,KERMADEC ISLANDS REGION
2013-12-17T23:38:08.860000Z,20.736,146.7654,22.7,6.2,MW,MARIANA ISLANDS REGION
2013-02-16T04:37:37.320000Z,5.7785,125.7792,116.4,6.2,MW,"MINDANAO, PHILIPPINES"
2013-03-25T23:02:12.520000Z,14.5905,-90.4772,193.7,6.2,MW,GUATEMALA
2013-08-28T02:54:41.470000Z,-27.7888,179.7461,485.1,6.2,MW,KERMADEC ISLANDS REGION
2013-08-17T16:32:31.830000Z,-34.8867,54.1278,10.9,6.2,MW,SOUTHWEST INDIAN RIDGE
2013-01-28T16:38:53.840000Z,42.5824,79.7217,14.3,6.2,MW,LAKE ISSYK-KUL REGION
2013-10-11T21:24:59.360000Z,-30.729,-178.4264,152.9,6.2,MW,"KERMADEC ISLANDS, NEW ZEALAND"
2013-10-06T21:33:19.710000Z,-36.6341,-97.6029,12.0,6.2,MW,WEST CHILE RISE
2013-08-21T12:38:29.510000Z,16.8572,-99.5188,18.9,6.2,MW,"NEAR COAST OF GUERRERO, MEXICO"
2013-05-21T05:43:22.120000Z,52.2164,160.2246,45.9,6.2,MW,OFF EAST COAST OF KAMCHATKA
2013-05-11T02:08:11.290000Z,26.6583,57.8438,15.1,6.2,MW,SOUTHERN IRAN
2013-01-21T22:22:54.780000Z,4.9625,95.9215,24.6,6.1,MW,"NORTHERN SUMATRA, INDONESIA"
2013-01-30T23:03:47.710000Z,-10.6598,166.4759,36.0,6.1,MW,SANTA CRUZ ISLANDS
2013-09-15T16:21:38.490000Z,51.4857,-174.6891,31.1,6.1,MW,"ANDREANOF ISLANDS, ALEUTIAN IS."
2013-09-03T20:19:06.670000Z,51.0979,-130.4234,2.5,6.1,MW,QUEEN CHARLOTTE ISLANDS REGION
2013-06-16T21:39:06.600000Z,34.4242,25.1864,25.0,6.1,MW,"CRETE, GREECE"
2013-12-08T17:24:54.630000Z,44.4691,149.133,34.1,6.1,MW,KURIL ISLANDS
2013-07-02T07:37:05.090000Z,4.6907,96.5824,25.4,6.1,MW,"NORTHERN SUMATRA, INDONESIA"
2013-04-20T13:12:52.080000Z,50.0079,157.3684,32.8,6.1,MW,KURIL ISLANDS
2013-01-15T16:09:37.750000Z,-62.5094,-161.2762,10.0,6.1,MW,PACIFIC-ANTARCTIC RIDGE
2013-04-21T03:22:16.920000Z,29.9644,138.9741,431.3,6.1,MW,"SOUTHEAST OF HONSHU, JAPAN"
2013-08-12T00:53:44.440000Z,-7.1167,129.7914,104.8,6.1,MW,BANDA SEA
2013-07-26T07:07:17.330000Z,-15.3205,167.6206,141.0,6.1,MW,VANUATU ISLANDS
2013-11-19T13:32:53.410000Z,2.7153,128.4474,56.1,6.1,MW,"HALMAHERA, INDONESIA"
2013-02-22T12:01:58.670000Z,-27.9052,-63.1349,585.6,6.1,MW,"SANTIAGO DEL ESTERO PROV., ARG."
2013-01-31T03:33:45.270000Z,-10.6377,166.5421,22.2,6.1,MW,SANTA CRUZ ISLANDS
2013-04-19T19:58:41.520000Z,49.9301,157.7172,24.6,6.1,MW,EAST OF KURIL ISLANDS
2013-09-21T01:39:15.480000Z,-7.2679,119.9508,550.1,6.1,MW,FLORES SEA
2013-02-06T06:35:22.030000Z,-10.8605,164.6145,29.0,6.1,MW,SANTA CRUZ ISLANDS REGION
2013-04-22T01:16:32.560000Z,18.0412,-102.1983,31.5,6.1,MW,"MICHOACAN, MEXICO"
2013-07-06T05:05:06.960000Z,-3.294,100.5312,26.1,6.1,MW,"SOUTHERN SUMATRA, INDONESIA"
2013-02-06T11:53:54.820000Z,-11.2312,165.8721,15.0,6.1,MW,SANTA CRUZ ISLANDS
2013-02-06T00:07:21.730000Z,-10.7807,165.3291,7.5,6.0,MW,SANTA CRUZ ISLANDS
2013-04-20T04:51:12.270000Z,-6.2786,130.2233,113.9,6.0,MW,BANDA SEA
2013-10-23T08:23:29.510000Z,-22.9722,-177.0404,157.7,6.0,MW,SOUTH OF FIJI ISLANDS
2013-10-06T16:38:10.390000Z,12.2738,141.7102,118.4,6.0,MW,SOUTH OF MARIANA ISLANDS
2013-08-31T06:38:38.040000Z,51.2897,-174.9417,27.6,6.0,MW,"ANDREANOF ISLANDS, ALEUTIAN IS."
2013-09-11T12:44:14.520000Z,-4.591,-104.8068,13.0,6.0,MW,CENTRAL EAST PACIFIC RISE
2013-04-13T22:49:49.200000Z,-19.103,169.6524,269.3,6.0,MW,VANUATU ISLANDS
2013-09-05T04:01:36.070000Z,15.2518,-45.2139,10.4,6.0,MW,NORTHERN MID-ATLANTIC RIDGE
2013-07-21T23:45:55.920000Z,34.5047,104.2608,5.1,6.0,MW,"GANSU, CHINA"
2013-11-13T23:45:48.200000Z,-60.3091,-47.2872,10.0,6.0,MW,SCOTIA SEA
2013-06-15T11:20:37.660000Z,-33.9023,179.4859,210.0,6.0,MW,SOUTH OF KERMADEC ISLANDS
2013-06-05T04:47:27.260000Z,-11.4032,166.3017,53.6,6.0,MW,SANTA CRUZ ISLANDS
2013-02-10T18:39:36.130000Z,-10.9733,165.5442,35.7,6.0,MW,SANTA CRUZ ISLANDS
2013-07-04T17:15:57.680000Z,-7.0042,155.7104,55.2,6.0,MW,SOLOMON ISLANDS
2013-11-19T17:00:45.010000Z,18.4629,145.165,531.1,6.0,MW,MARIANA ISLANDS
2013-09-06T11:33:54.790000Z,20.1862,122.3336,189.4,6.0,MW,PHILIPPINE ISLANDS REGION
2013-07-24T03:32:34.430000Z,-23.1593,-177.1534,168.0,6.0,MW,SOUTH OF FIJI ISLANDS
2013-09-25T06:51:23.970000Z,-49.9853,-113.7895,10.0,6.0,MW,SOUTHERN EAST PACIFIC RISE
2013-05-21T01:55:06.670000Z,52.414,160.5733,23.4,6.0,MW,OFF EAST COAST OF KAMCHATKA
2013-03-24T04:18:37.210000Z,50.6623,160.2335,30.0,6.0,MW,EAST OF KURIL ISLANDS
2013-05-18T05:48:00.000000Z,37.7604,141.5665,45.6,6.0,MW,"NEAR EAST COAST OF HONSHU, JAPAN"
2013-09-04T06:27:05.350000Z,51.5201,-174.7733,30.2,6.0,MW,"ANDREANOF ISLANDS, ALEUTIAN IS."
2013-08-01T20:01:42.990000Z,-15.2651,-173.4982,29.0,6.0,MW,TONGA ISLANDS
2013-12-01T06:29:58.320000Z,2.0171,96.8488,21.6,6.0,MW,"NORTHERN SUMATRA, INDONESIA"
2013-07-17T02:37:43.740000Z,-15.6661,-71.7458,13.0,6.0,MW,SOUTHERN PERU
2013-02-01T05:36:42.100000Z,-11.1624,165.4883,14.8,6.0,MW,SANTA CRUZ ISLANDS
2013-03-27T02:03:19.940000Z,23.8815,121.135,18.6,6.0,MW,TAIWAN
2013-02-07T00:30:12.810000Z,-11.7566,165.0307,25.3,6.0,MW,SANTA CRUZ ISLANDS
